ARTICLE LINK,PUBLISHED DATE (GMT),Date,PUBLISHER,TITLE,Sentiment,Score
https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvaG9tZS1zYWxlcy1mZWxsLW5lYXJseS02cGVyY2VudC1pbi1qdWx5LWFzLWhvdXNpbmctbWFya2V0LXNsaWRlcy1pbnRvLWEtcmVjZXNzaW9uLmh0bWzSAQA?oc=5,8/18/2022 14:00,8/18/2022,Google News,Home sales fell nearly 6% in July as housing market slides into a recession - CNBC,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vc21hcnQtdW5pb24ub3JnL3RkLXByZXNpZGVudC1mZXJndXNvbnMtc3RhdGVtZW50LW9uLXBlYi0yNTBzLXJlY29tbWVuZGF0aW9ucy_SAQA?oc=5,8/18/2022 15:57,8/18/2022,Google News,TD President Ferguson's statement on PEB 250's recommendations - Smart Union,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTcvc3RvY2stbWFya2V0LWZ1dHVyZXMtb3Blbi10by1jbG9zZS1uZXdzLmh0bWzSAQA?oc=5,8/18/2022 16:21,8/18/2022,Google News,Dow falls as Wall Street struggles to revive summer rally - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvZmVkcy1idWxsYXJkLWxlYW5zLXRvd2FyZC1mYXZvcmluZy0wLTc1LXBlcmNlbnRhZ2UtcG9pbnQtc2VwdGVtYmVyLXJhdGUtcmlzZS0xMTY2MDg0Mjc2ONIBAA?oc=5,8/18/2022 19:36,8/18/2022,Google News,Fedâ€™s Bullard Leans Toward Favoring 0.75-Percentage-Point September Rate Rise - The Wall Street Journal,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vYWJjbmV3cy5nby5jb20vQnVzaW5lc3Mvd2lyZVN0b3J5L3VzLWhvbWUtc2FsZXMtZmVsbC1qdWx5LWhvdXNpbmctc2xvd2Rvd24tZGVlcGVucy04ODU0MzMyNtIBZ2h0dHBzOi8vYWJjbmV3cy5nby5jb20vYW1wL0J1c2luZXNzL3dpcmVTdG9yeS91cy1ob21lLXNhbGVzLWZlbGwtanVseS1ob3VzaW5nLXNsb3dkb3duLWRlZXBlbnMtODg1NDMzMjY?oc=5,8/18/2022 20:03,8/18/2022,Google News,US home sales fell in July; some buyers see silver lining - ABC News,positive,1
https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvYWN0aXZpc3QtaW52ZXN0b3Itcnlhbi1jb2hlbi1jb21wbGV0ZXMtcGxhbm5lZC1zYWxlLW9mLWJlZC1iYXRoLWJleW9uZC1zdGFrZS5odG1s0gEA?oc=5,8/18/2022 20:24,8/18/2022,Google News,"Activist investor Ryan Cohen completes planned sale of Bed Bath & Beyond stake, stock falls 30% - CNBC",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvc3RhcmJ1Y2tzLW9wZXJhdGluZy1jaGllZi10by1kZXBhcnQtYXMtY29mZmVlLWNoYWluLWVsaW1pbmF0ZXMtcm9sZS11bmRlci1yZWludmVudGlvbi5odG1s0gEA?oc=5,8/18/2022 20:30,8/18/2022,Google News,Starbucks operating chief to depart as company eliminates role under 'reinvention' - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvbXNnLWVudGVydGFpbm1lbnQtZXhwbG9yZXMtcG9zc2libGUtc3Bpbm9mZi10aGF0LXdvdWxkLWluY2x1ZGUtbnktYXJlbmEuaHRtbNIBAA?oc=5,8/18/2022 21:03,8/18/2022,Google News,Madison Square Garden Entertainment explores possible spinoff that would include iconic NY arena - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAyMi8wOC9mb3ItdGhlLWZpcnN0LXRpbWUtZXZlci1tb3JlLXBlb3BsZS13YXRjaGVkLXN0cmVhbWluZy10di10aGFuLWNhYmxlL9IBcmh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAyMi8wOC9mb3ItdGhlLWZpcnN0LXRpbWUtZXZlci1tb3JlLXBlb3BsZS13YXRjaGVkLXN0cmVhbWluZy10di10aGFuLWNhYmxlLz9hbXA9MQ?oc=5,8/18/2022 21:58,8/18/2022,Google News,"For the first time ever, more people watched streaming TV than cable - Ars Technica",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9idXNpbmVzcy8yMDIyLzA4LzE4L3N0YXJidWNrcy1maXJlZC1iYXJpc3Rhcy1yZWluc3RhdGVkLW1lbXBoaXMv0gEA?oc=5,8/18/2022 22:08,8/18/2022,Google News,Judge Orders Reinstate of Seven Fired Starbucks Baristas - The Washington Post,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiQWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8xOC9idXNpbmVzcy9rb2hscy1wcm9ibGVtcy9pbmRleC5odG1s0gEA?oc=5,8/18/2022 22:09,8/18/2022,Google News,Kohl's is a mess in more ways than one - CNN,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5jbmJjLmNvbS8yMDIyLzA4LzE4L2p1bWJsZWQtZWNvbm9taWMtYm9vbXMtYW5kLWJ1c3RzLW1lYW5zLWNvbXBhbmllcy1jYW50LXJlYWxseS1wbGFuLWppbS1jcmFtZXItd2FybnMtaW52ZXN0b3JzLmh0bWzSAQA?oc=5,8/18/2022 22:32,8/18/2022,Google News,"Companies 'can't really plan' in muddled economic cycles, Jim Cramer warns investors - CNBC",negative,0
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9WXZ1WTBQYk5xdVnSAQA?oc=5,8/18/2022 23:11,8/18/2022,Google News,Judge rules Starbucks must hire back fired workers known as Memphis 7 - ABC24 Memphis,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvcnlhbi1jb2hlbi1zLXJjLXZlbnR1cmVzLXNlbGxzLWVudGlyZS1zdGFrZS1pbi1iZWQtYmF0aC1iZXlvbmQtMTE2NjA4NTUzNzXSAQA?oc=5,8/18/2022 23:47,8/18/2022,Google News,"Meme Lord Ryan Cohen Unloads Bed Bath & Beyond Bet, Sending Shares Spiraling - The Wall Street Journal",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9oZWFsdGhjYXJlL2h1bmRyZWRzLWdvb2dsZS13b3JrZXJzLXBldGl0aW9uLWNvbXBhbnktZXhwYW5kLWFib3J0aW9uLWJlbmVmaXRz0gEA?oc=5,8/19/2022 0:08,8/19/2022,Google News,Hundreds of Google workers petition for company to expand abortion benefits - Fox Business,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTkvbmFuY3ktdGVuZ2xlci1vbi1ob3ctdG8tdHJhZGUtdGhlLW1hcmtldC13aGljaC10ZWNoLXN0b2Nrcy10by1idXkuaHRtbNIBAA?oc=5,8/19/2022 0:10,8/19/2022,Google News,"Nancy Tengler on how to trade the market, which tech stocks to buy - CNBC",positive,1
https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3RoZWhpbGwuY29tL3JlZ3VsYXRpb24vY291cnQtYmF0dGxlcy8zNjA3NDYwLWp1ZGdlLW9yZGVycy1zdGFyYnVja3MtdG8tcmVpbnN0YXRlLWZpcmVkLXdvcmtlcnMtd2hvLWxlZC11bmlvbml6YXRpb24tZWZmb3J0L9IBAA?oc=5,8/19/2022 0:14,8/19/2022,Google News,Judge orders Starbucks to reinstate fired workers who led unionization effort - The Hill,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiQmh0dHBzOi8vd3d3LmlkYWhvc3RhdGVzbWFuLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGUyNjQ2NTQ3MTkuaHRtbNIBQmh0dHBzOi8vYW1wLmlkYWhvc3RhdGVzbWFuLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGUyNjQ2NTQ3MTkuaHRtbA?oc=5,8/19/2022 0:15,8/19/2022,Google News,"Dan Price, the CEO from Idaho who set a $70K minimum yearly salary, quits his company - Idaho Statesman",positive,1
https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmNvaW5kZXNrLmNvbS9tYXJrZXRzLzIwMjIvMDgvMTkvZmlyc3QtbW92ZXItYXNpYS1iaXRjb2luLXNpbmtzLWJlbG93LTIzay1zb3V0aC1rb3JlYXMtYnVtcHktY3J5cHRvLXBhdGgtZm9yd2FyZC_SAQA?oc=5,8/19/2022 2:00,8/19/2022,Google News,First Mover Asia: Bitcoin Sinks Below $23K; South Korea's Bumpy Crypto Path Forward - CoinDesk,positive,1
https://news.google.com/__i/rss/rd/articles/CBMijQFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtbWFya2V0LXJhbGx5LXdvbnQtZG8tdGhpcy1iYmJ5LXN0b2NrLWRpdmVzLXJldmVyc2lvbi10by10aGUtbWVtZS_SAQA?oc=5,8/19/2022 2:14,8/19/2022,Google News,Rally Won't Do This; BBBY Stock Dives 45% In 'Reversion To The Meme' - Investor's Business Daily,negative,0
https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9yeWFuLWNvaGVucy1iZWQtYmF0aC1iZXlvbmQtc3RvY2stc2FsZXMtYXJlLWNvbmZpcm1lZC1zaGFyZXMtdGFuay1hZ2Fpbi0xMTY2MDg1NTQ3OdIBAA?oc=5,8/19/2022 3:44,8/19/2022,Google News,Ryan Cohen cashed out of Bed Bath & Beyond stock with more than $58 million profit; shares plunge again - MarketWatch,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL3BsYW4tcmFpbC1jb250cmFjdC1kZWFsLWRvZXNudC1hZGRyZXNzLWNvbmNlcm5zLXVuaW9u0gEA?oc=5,8/19/2022 5:57,8/19/2022,Google News,Plan for rail contract deal doesn't address concerns: union - Fox Business,negative,0
https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vbWFya2V0cy5idXNpbmVzc2luc2lkZXIuY29tL25ld3Mvc3RvY2tzL3N0b2NrLW1hcmtldC1vdXRsb29rLWJlYXItcmFsbHktbG93cy1zcDUwMC1mZWQtZWNvbm9teS1kb3ctMjAyMi040gF1aHR0cHM6Ly9tYXJrZXRzLmJ1c2luZXNzaW5zaWRlci5jb20vbmV3cy9zdG9ja3Mvc3RvY2stbWFya2V0LW91dGxvb2stYmVhci1yYWxseS1sb3dzLXNwNTAwLWZlZC1lY29ub215LWRvdy0yMDIyLTg_YW1w?oc=5,8/19/2022 7:55,8/19/2022,Google News,"Stock market outlook: Equities haven't reached lows yet, BofA says - Markets Insider",negative,0
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8xOC9ob21lcy9tb3J0Z2FnZS1yYXRlcy1hdWd1c3QtMTgvaW5kZXguaHRtbNIBAA?oc=5,8/19/2022 10:23,8/19/2022,Google News,Mortgage rates drop amid signs that inflation may have finally peaked - CNN,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTkvZ20tdG8tcmVpbnN0YXRlLXF1YXJ0ZXJseS1kaXZpZGVuZC11cHMtc2hhcmUtYnV5YmFja3MtdG8tNS1iaWxsaW9uLmh0bWzSAQA?oc=5,8/19/2022 12:00,8/19/2022,Google News,GM to reinstate quarterly dividend and increase share buyback program to $5 billion - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvdXMvc3VkZGVuLWNyeXB0by1kcm9wLXNlbmRzLWJpdGNvaW4tMy13ay1sb3ctMjAyMi0wOC0xOS_SAQA?oc=5,8/19/2022 12:07,8/19/2022,Google News,Sudden crypto drop sends bitcoin to three-week low - Reuters,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvdXMvcnlhbi1jb2hlbnMtNjAtbWxuLWJlZC1iYXRoLXUtdHVybi10cmlnZ2Vycy1tZW1lLXN0b2NrLWludmVzdG9yLWlyZS0yMDIyLTA4LTE5L9IBAA?oc=5,8/19/2022 12:11,8/19/2022,Google News,Ryan Cohen's $60 million Bed Bath u-turn triggers meme stock investor ire - Reuters,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzkzOTQyYjkzLWUwYjUtNDZjYS04MGFlLWNmMTY2NDk4YmE0YdIBAA?oc=5,8/19/2022 12:12,8/19/2022,Google News,Bed Bath & Beyond shares plummet after Ryan Cohen confirms stake sale - Financial Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2xpdmUvMjAyMi8wOC8xOS9idXNpbmVzcy9lY29ub215LW5ld3MtaW5mbGF0aW9uLXN0b2Nrc9IBAA?oc=5,8/19/2022 12:23,8/19/2022,Google News,Meme stocks are back. Hereâ€™s why wild trading may be here to stay. - The New York Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vY29pbnRlbGVncmFwaC5jb20vbmV3cy9ldGhlcmV1bS1tZXJnZS1wcm9tcHRzLW1pbmVycy1hbmQtbWluaW5nLXBvb2xzLXRvLW1ha2UtYS1jaG9pY2XSAQA?oc=5,8/19/2022 13:23,8/19/2022,Google News,Ethereum Merge prompts miners and mining pools to make a choice - Cointelegraph,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiS2h0dHBzOi8vZm9ydHVuZS5jb20vMjAyMi8wOC8xOS9ldmVyeXRoaW5nLXRvLWtub3ctYWJvdXQtdGhlLWV0aGVyZXVtLW1lcmdlL9IBAA?oc=5,8/19/2022 13:40,8/19/2022,Google News,Ethereum â€˜mergeâ€™ will change crypto forever: Everything you need to know - Fortune,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9Y1JmZXoyLXBMZzjSAQA?oc=5,8/19/2022 13:49,8/19/2022,Google News,New report shows housing market stall out - ABC News,positive,1
https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9iaXp3b21lbi9uZXdzL2xhdGVzdC1uZXdzLzIwMjIvMDgvZ2VuZXJhbC1tb3RvcnMtcmVpbnN0YXRlcy1kaXZpZGVuZHMtYXMtaXQtY29udGludS5odG1sP3BhZ2U9YWxs0gEA?oc=5,8/19/2022 14:05,8/19/2022,Google News,General Motors reinstates dividends as it continues to build its electric vehicle portfolio - Bizwomen - The Business Journals,positive,1
https://news.google.com/__i/rss/rd/articles/CBMijwFodHRwczovL3d3dy5jb2luZGVzay5jb20vbWFya2V0cy8yMDIyLzA4LzE5L2ZpcnN0LW1vdmVyLWFtZXJpY2FzLWZlYXItbWFrZXMtcXVpY2stcmV0dXJuLXRvLWNyeXB0by1tYXJrZXRzLWFzLWJpdGNvaW4tcGx1bmdlcy1tb3N0LWluLTItbW9udGhzL9IBAA?oc=5,8/19/2022 14:06,8/19/2022,Google News,First Mover Americas: Fear Returns to Crypto Markets as Bitcoin Plunges Most in 2 Months - CoinDesk,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vZW5kcHRzLmNvbS9mb2xsb3dpbmctYW4tYWxtb3N0LXllYXJsb25nLXdhaXQtZmRhLWFwcHJvdmVzLWF4c29tZXMtcmFwaWQtYWN0aW5nLWRlcHJlc3Npb24tZHJ1Zy_SAQA?oc=5,8/19/2022 14:09,8/19/2022,Google News,"Following an almost yearlong wait, FDA approves Axsome's rapid-acting depression drug - Endpoints News",positive,1
https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90cmF2ZWwvYWlybGluZS1uZXdzLzIwMjIvMDgvMTkvZmxpZ2h0LWRlbGF5LWNhbmNlbGVkLWFpcmxpbmUtcG9saWN5LWRhdGFiYXNlLzc4NDEzOTgwMDEv0gEA?oc=5,8/19/2022 14:19,8/19/2022,Google News,"Flight delayed, canceled? New dashboard to show what airlines owe you - USA TODAY",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiQmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8xOS9idXNpbmVzcy93YXlmYWlyLWxheW9mZnMvaW5kZXguaHRtbNIBRmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjIvMDgvMTkvYnVzaW5lc3Mvd2F5ZmFpci1sYXlvZmZzL2luZGV4Lmh0bWw?oc=5,8/19/2022 14:49,8/19/2022,Google News,Wayfair is cutting 5% of its global workforce - CNN,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS91LXMtc3RvY2stZnV0dXJlcy1wdWxsLWJhY2std2l0aC10ZWNoLXVuZGVyLXByZXNzdXJlLWFzLWJvbmQteWllbGRzLWNsaW1iLTExNjYwOTAxNjYw0gEA?oc=5,8/19/2022 15:37,8/19/2022,Google News,Dow drops 300 points as options expiration unleashes volatility in stocks - MarketWatch,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDgvMTkvYm9va3MvcHJoLXBlbmd1aW4tcmFuZG9tLWhvdXNlLXRyaWFsLmh0bWzSAQA?oc=5,8/19/2022 16:35,8/19/2022,Google News,A Trial Put Publishingâ€™s Inner Workings on Display. What Did We Learn? - The New York Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTkvd2FsbWFydC1leHBhbmRzLWFib3J0aW9uLWNvdmVyYWdlLWZvci1lbXBsb3llZXMtYWZ0ZXItcm9lLXYtd2FkZS5odG1s0gFpaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDgvMTkvd2FsbWFydC1leHBhbmRzLWFib3J0aW9uLWNvdmVyYWdlLWZvci1lbXBsb3llZXMtYWZ0ZXItcm9lLXYtd2FkZS5odG1s?oc=5,8/19/2022 16:43,8/19/2022,Google News,Walmart expands abortion coverage for its employees in the wake of Roe v Wade decision - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vYXJzdGVjaG5pY2EuY29tL3RlY2gtcG9saWN5LzIwMjIvMDgvdGhlLW1lcmdlLXRoZS1iaWdnZXN0LWNoYW5nZS1pbi1ldGhlcmV1bS1oaXN0b3J5LWV4cGxhaW5lZC_SAW1odHRwczovL2Fyc3RlY2huaWNhLmNvbS90ZWNoLXBvbGljeS8yMDIyLzA4L3RoZS1tZXJnZS10aGUtYmlnZ2VzdC1jaGFuZ2UtaW4tZXRoZXJldW0taGlzdG9yeS1leHBsYWluZWQvP2FtcD0x?oc=5,8/19/2022 17:09,8/19/2022,Google News,Ethereumâ€™s â€œMergeâ€ is about to put every ether miner out of work - Ars Technica,negative,0
https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvcmVnYWwtY2luZW1hcy1vd25lci1jaW5ld29ybGQtcHJlcGFyZXMtZm9yLWJhbmtydXB0Y3ktZmlsaW5nLTExNjYwOTEwOTQ00gFpaHR0cHM6Ly93d3cud3NqLmNvbS9hbXAvYXJ0aWNsZXMvcmVnYWwtY2luZW1hcy1vd25lci1jaW5ld29ybGQtcHJlcGFyZXMtZm9yLWJhbmtydXB0Y3ktZmlsaW5nLTExNjYwOTEwOTQ0?oc=5,8/19/2022 17:10,8/19/2022,Google News,Regal Cinemas Owner Cineworld Prepares for Bankruptcy Filing - The Wall Street Journal,positive,1
https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmtpdGNvLmNvbS9uZXdzLzIwMjItMDgtMTkvV2FsbC1TdHJlZXQtdHVybnMtYmVhcmlzaC1vbi1nb2xkLXByaWNlLXdhcm5zLW9mLXZvbGF0aWxpdHktYWhlYWQtb2YtSmFja3Nvbi1Ib2xlLmh0bWzSAQA?oc=5,8/19/2022 17:35,8/19/2022,Google News,"Wall Street turns bearish on gold price, warns of volatility ahead of Jackson Hole - Kitco NEWS",positive,1
https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzgvMTkvMjMzMTMxNDQvYWN1cmEtcHJlY2lzaW9uLWV2LWNvbmNlcHQtZWxlY3RyaWMtc3V2LWl0YWxpYW4tcGVyZm9ybWFuY2UtYm9hdC1kZXNpZ27SAQA?oc=5,8/19/2022 17:35,8/19/2022,Google News,Acuraâ€™s Precision EV concept looks like a boat that canâ€™t float - The Verge,negative,0
